Title,JobDescription
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Sales Manager,The Sales Manager works towards development of salesof ArArAt and PR imported products
Sales Manager,ZangTelecom LLC Radionet is seeking for qualifiedSales Managers to be responsible for presentation and sales of theservices
Java Developer,Energize Global Services CJSC is looking for JavaDevelopers to be engaged in different long term projects
Java Developer,Essence Development LLC is seeking a highly motivatedJava Developer to develop and build high quality web applications Inthis role the developer will not only help building next generation webapplications but will also enhance and maintain existing JavaJ2EEapplications The developer will be working on a range of challengingprojects throughout the full development life cycle
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Sales Manager,Megamotors LLC is seeking a candidate for the positionof sales manager who will assume responsibility for showroom visitors andcustomers demonstrating excellent product knowledge appraisingdisplaying and merchandising the Mitsubishi vehicles
Sales Manager,Master Class Tennis  Fitness Club is looking for amotivated and proactive candidate for the position of Sales Manager forits new opening fitness center
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions the latest Java technologies
Java Developer,NairiSoft Inc is looking for a highly qualifiedperson with deep knowledge and practical experience in Java programmingThe selected candidate will be involved in all stages of the developmentlife cycle
Sales Manager,Master Class Tennis  Fitness Club is looking for amotivated and proactive candidate for the position of Sales Manager
Sales Manager,ZangTelecom LLC RadioNet is seeking qualified SalesManagers to be responsible for presentation and sales of the services
Java Developer,EPAM Systems is actively looking for Java developersfor complex and longterm projects The position entails working withSun and IBM products portal solutions and the latest Java technologies
Sales Manager,The Sales Manager will be responsible for promotingInsurance products in the market
Sales Manager,The Sales Manager will build lead and develop ahighly motivated achievementoriented sales team and support indirectchannels capable of meeting or exceed demanding sales targets and profitmargin objectives
Java Developer,Boomerang Software LLC is looking for a Java Developerto be engaged in different long term projects
Sales Manager,CornetAm CJSC is looking for a motivated andwellorganized candidate for the position of Sales Manager for thecompanys sales office
Java Developer,Energize Global Services CJSC is looking for JavaDevelopers to be engaged in different long term projects
Sales Manager,Boomerang Software LLC is looking for committedindividuals to fill the position of Sales Manager The successfulcandidates will be expected to take responsibility for identifying newopportunities following up enquiries and converting proposals quotations into firm orders
Sales Manager,Asya Baghdasaryan PE is looking for dynamicpersons with strong communication presentation and negotiation skillsto work under the supervision of the Marketing Director
Sales Manager,Sales Manager is responsible for full aspects ofestablishment of cooperation with customers sales of products anddevelopment of relationships with potential and current customersHeshe is also responsible for presales and postsales relatedadministrative tasks
Sales Manager,Sales Manager is responsible for full aspects ofestablishment of cooperation with customers sales of products anddevelopment of relationships with potential and current customersHeshe is also responsible for presales and postsales relatedadministrative tasks
Java Developer,NairiSoft Inc Armenia is looking for a highlyqualified person with deep knowledge and practical experience in Javaprogramming The selected candidate will be involved in all stages ofthe development life cycle
Sales Manager,IUnetworks LLC is looking for a motivated individualto fill the position of Sales Manager The position  holder will assistclients in hardware and software tools selection create quotes for SUNPlanet and Erickson products followup purchase orders etc
Sales Manager,Kinetik CJSC Orange Fitness is looking for amotivated and proactive candidate for the position of Sales Manager
Sales Manager,Natfood CJSC is announcing a position of SalesManager and is looking for a highly motivated and experiencedprofessional Sales Manager should develop implement and manage thecompanys sales strategy to ensure efforts to meet goals and objectiveswith direct reporting to the Chief Executive Officer
Sales Manager,Unitel LLC is seeking a highly motivated andprofessional Sales Manager
Sales Manager,Muran LLC is looking for a candidate to fulfill theposition of Sales Manager to sell vehicles and sign contracts with thecustomers
Sales Manager,Cascade Telecom LLC is seeking motivated andcommercially orientated Sales Manager to work with companys corporatecustomers and partners
Sales Manager,Magic Sale LLC is seeking motivated and commerciallyoriented Sales Manager to attract new clients and organize current workwith the existing ones
Sales Manager,Ar  Ar Design Construction is looking for highlymotivated candidates for the position of Sales Manager for one ofcompanys 22C stores
Java Developer,AtTask Inc is looking for Java Developers withexperience in Perl to develop internal applications that support dailybusiness operations at Yerevan office
Sales Manager,Magic Sale LLC is seeking motivated and commerciallyorientated Sales Manager to attract new clients and organize currentwork with the existing ones
Sales Manager,Nushikyan Association LLC is seeking motivated andcommercially oriented Sales Manager to attract new clients and organizecurrent work with the existing ones
Sales Manager,Victoria Pasta is looking for a motivated andcommercially oriented Sales Manager to attract new clients and organizecurrent work with the existing ones
Sales Manager,Redinet CJSC is seeking qualified Sales Manager to beresponsible for presentation and sales of telecommunication relatedproducts and services
Sales Manager,Muran LLC is looking for a candidate to fulfill theposition of Sales Manager to sell vehicles and sign contracts with thecustomers
Sales Manager,Redinet CJSC is seeking a qualified Sales Manager to beresponsible for presentation and sales of Telecommunication relatedproducts and services
Sales Manager,This role requires introducing products and services todifferent companies The incumbent will also be responsible for workingout strategies to increase sales
Sales Manager,ZX Garage LLC is seeking a qualified Sales Managerresponsible for sales of tires rims oils filters and spare parts
Sales Manager,Catherine Group Ltd is inviting highly qualifiedprofessionals to fulfill the position of a Sales Manager The incumbentwill be responsible for the promotion of baby food products
Sales Manager,The incumbent will be responsible for implementing thecurrent sales stock activities
Java Developer,TX Systems is seeking an experienced Java Developer fordevelopment of Web based applications
Sales Manager,Galoper LLC is looking for a candidate to fulfill theposition of Sales Manager to sell vehicles and sign contracts with thecustomers
Sales Manager,Natfood CJSC is looking for a highly motivated andexperienced professional to work as a Sales Manager The incumbent shouldimplement and manage the companys sales strategy to ensure efforts tomeet ambitious goals and objectives
Sales Manager,The Sales Manager will lead the sales team with dozenaccounts that include retailers restaurants hotels and other food andbeverage outlets across Armenia
Sales Manager,Magic Sale LLC is seeking motivated and commerciallyoriented Sales Manager to attract new clients and organize current workwith the existing ones
Sales Manager,Catherine Group Co Ltd is looking for a candidateto fulfill the position of a Sales Manager to sell vehicles and signcontracts with the customers
Java Developer,IUnetworks is looking for a motivated Java Developerfor Web based enterprise level applications development
Sales Manager,Biska Group LLC is looking for energetic andexperienced individuals for the position of Sales Manager Heshe willwork under the supervision of the Founding Director
Sales Manager,The incumbent will be responsible for sales ofcompanys products  tiles of natural stones
Sales Manager,The incumbent will be responsible for the sales ofcompanys products  food products
Sales Manager,Redinet CJSC is seeking a qualified Sales Manager to beresponsible for presentation and sales of telecommunication relatedproducts and services
Java Developer,AtTask has an opening for J2EE programmers withextensive UI experience in Web 20 development to assist in thedevelopment of its awardwinning project management application atYerevan office
Sales Manager,The incumbent will be responsible for sales ofcompanys products  tiles of natural stones
Sales Manager,Tempo Libero Ltd is seeking a qualified Sales Managerto be responsible for presentation and sales of entertainment fieldrelated products and services
Java Developer,The State Migration Service SMS of the Ministry ofTerritorial Administration of the Republic of Armenia is looking for aResearch Officer who will perform duties under the direct supervision ofthe Head of the Asylum Unit at the State Migration Service
Sales Manager,Virtual Solution Global Services LLC is seeking amotivated Senior Java Developer for Web based applications development
Java Developer,Assistant Lawyer will be responsible for assistance tothe Chief lawyer for provision of legal services and human rightsprotection of most at risk population injection drug users sex workersmen having sex with men and people living with HIV
Sales Manager,Natali Pharm Ltd is seeking candidates for theposition of Medical Representative The incumbent is supposed to handlethe overall promotion works among doctors and pharmacists thoroughlyrepresenting company products
Sales Manager,The incumbent will research and develop softwaresystems according to clients requirements and continue debuggingenhancing and maintaining developed systems Primary responsibilitiesinclude data analyzing skills in combination with developing anddebugging database driven web based enterprise level software using Cprogramming language and SQL
Java Developer,The incumbent will build trustful relations withcustomers by providing them assistance and support meet or exceedassigned sales targets by appropriately representing companys services
Sales Manager,Working in the Investment Banking division theincumbent will help clients solve some of their most critical financialand strategic challenges Ameriabank CJSC is looking for candidates whowill thrive in an environment where multitasking time management andstamina are essential He she should be comfortable working with numbersand be an analytical thinker
Sales Manager,The incumbent will be developing software applicationsand will be working in distributed team
Sales Manager,AN Audit CJSC is looking for successful candidates tofill the position of Chief Accountant  The Chief Accountant will beresponsible for conducting day to day bookkeeping for accounting andpreparation of financial statements tax returns and prudential reports
Sales Manager,AtTask has an opening for iPhone Application Developerwho will help to develop mobile applications for work management platformat Yerevan office
Sales Manager,Ameria CJSC is looking for motivated selfdriven youngprofessionals to join Ameria MAS Management Advisory Team The role ofthe Senior Consultant offers great opportunities to gain exposure toconsulting analysis and researching
Sales Manager,Monitis GFI CJSC is seeking an experienced Java WebDeveloper
Sales Manager,LeaderF Dental Clinics PE is seeking a Dentist whowill be able to perform all facets of dentistry
Sales Manager,Digital Chocolate Inc is looking for a smartIntegration Engineer The incumbent will be responsible to designdevelop and maintain high quality high volume and extensible gamingplatform
Sales Manager,The OSCE Office in Yerevan invites applications fromhighly qualified energetic and experienced Armenian professionals forthe post of Election Coordination Consultant to assist in coordinatingthe domestic observation efforts with the aim of strengthening the roleand participation of civil society organizations and the public in theelection process under the Special Service Agreement
Sales Manager,The incumbent will prepare contracts with physicalpersons and legal entities insuring minimization of risks of theorganization including development and maintenance of administrationsystems
Sales Manager,Debenhams is seeking a Chief Accountant to establishand monitor the implementation and maintenance of accounting controlprocedures to apply accounting principles and procedures to analyzefinancial information prepare accurate and timely financial reports andstatements and ensure appropriate accounting control procedures
Java Developer,Rosgosstrakh Armenia ICJSC is looking for a SystemAdministrator to perform responsibilities listed below
Sales Manager,The highly qualified Senior Software Developer willpower up the software project development team in a leading financialcompany The candidate for this position must have experience in objectoriented programming and developing client server applications
Sales Manager,EuFoA is seeking to enhance its team and particularlyits Yerevan Branch with a Project Coordinator
Sales Manager,The incumbent will supervise the Project Officer andthe Project Assistant He she will work under the direct supervision ofthe Secretary General and the guidance of the President
Sales Manager,Company is looking for a positive and active personwho will provide departments with necessary information cooperate withthem communicate with clients and help them find all they need aboutcompanys products and services
Sales Manager,The incumbent will be responsible for introducingcompanys services to customers
Sales Manager,Sourcio is seeking experienced JavaScriptHTML5Developers particularly senior level for the development of featuresfor its partners awardwinning product
Java Developer,The incumbent will design and develop Eclipse Javabased Graphical User Interface GUI software
Sales Manager,The Social Media Specialist will be in charge ofwwwParliamentMonitoringam website promotion dissemination of currentand summary materials of the monitoring in social networks and mass mediaand stimulation of discussion on all possible platforms
Sales Manager,The primary objective of this position is thedevelopment and maintenance of wide range of automated tests such asfunctional regression stress load performance etc to test andensure the quality of Pegasus Logic products
Sales Manager,AtTask is looking for a Software Development Manager tohelp it take its technology processes and organization to the nextlevel The primary focus of this role is to drive the creation ofworldclass software through a combination of technical expertisethought leadership and direct management of several engineers TheSoftware Development Manager will help the team develop their skills andbecome more innovative productive and successful at their craft Theincumbent will also contribute to development of the AtTask application2030 of the time
Sales Manager,SAS Group is seeking a Fashion Product Developer forfashion trends research analysis and developing and sourcing fashionproducts
Sales Manager,Polpharma is looking for an enthusiasticselfmotivated personality who will combine excellent interpersonal andorganizational skills and have the ability to adapt to an internationalenvironment
Sales Manager,The incumbent will build trustful relations withcustomers by providing them assistance and support as well as meet orexceed assigned sales targets by appropriately representing companysservices
Sales Manager,The responsibilities of a Marketing Manager include butare not restricted to the following develop establish and maintainmarketing strategies to meet organizational objectives The incumbentwill be responsible for the effective management of the marketingadvertising and promotional activities of the organization
Sales Manager,The incumbent will be responsible for the developmentand performance of all sales activities in the assigned market He shewill staff and direct a sales team and provide leadership towards theachievement of maximum profitability and growth in line with companyvision and values The Sales Manager will establish plans and strategiesto expand the customer base in the marketing area
Sales Manager,EV Consulting CJSC is seeking a person who may become agatekeeper of the office who earns thousands of thank you from theteammates each day due to his her responsiveness diligence and spiritof service in helping to sort out numerous administrative research andcommunication issues
Sales Manager,The electrician is in charge of exploitationmaintenance repair and installation of electrical equipment in mobilebase stations BS headquarters HQ and other premises in accordancewith the approved internal and external normative documents
Java Developer,Damaris AM is looking for a qualified IT Technician tosupport Damaris IT Infrastructure
Sales Manager,Orange Armenia is looking for a dynamic andselfmotivated individual with experience and skills in web shopmanagement creating promotional roadmaps for increasing online sales andenlarging the auditorium of visitors by implementing various onlineactivities through social media
Sales Manager,VoIPShop Telecommunications Inc is seeking a motivatedand success driven person to work as International Sales Manager
Sales Manager,HayPost CJSC is looking for an intelligent andhardworking person to join companys team for the position ofTerritorial Direction Customer Service and Sales Manager ensuring thebest in class service to companys customers
Sales Manager,The incumbent will provide a comprehensive andprofessional finance management service to the Biska Group LLC includingdaytoday accounting reporting and general supervision of the financerelated matters
Sales Manager,VTB Bank Armenia CJSC is looking for a skilled andmotivated manager to fill in the position of Head of CorporateCollections Division for working with Large and Medium Businessesensuring high standards of operational efficiency
Sales Manager,Natali Pharm is looking for an enthusiastic andselfmotivated person who will combine excellent interpersonal andorganizational skills for the position of Product Specialist for B BraunMedical products
Sales Manager,As a Personal Assistant reporting to an assigned topmanagement team member this is a very varied role for the rightcandidate which requires an independent personable Personal Assistantto hit the ground running The incumbent will be dealing with variouscounterparties from different countries so Russian and English languageskills would be important
Sales Manager,The Mall General Manager will be responsible foroverseeing all aspects of mall management including but not limited toleasing and tenant relations business planning and financial managementfacilities and operational management and control of all maintenanceinspection and safety functions
Sales Manager,DTC IIBSYerevan Medical Center is seeking proactiveand result oriented individuals to work as a Manager MedicalRepresentative
Java Developer,MLL Industries LLC is looking for a Field Engineer forits HILTI Division
Sales Manager,The incumbent will provide support to implementation ofmultisectoral activities of the Area Development Program ADP in targetcommunities and undertake sectorialprofessional responsibility foreffective and proper implementation of Detailed Implementation Plan DIPactivities assigned to him her The Transformational DevelopmentFacilitator TDF will work with community members on daily basis forimplementation of activities capacity building in monitoring andidentifying partners networking with other stakeholders and making surecommunities are willing to lead their own development processes
Sales Manager,As an ASPNET MVC developer the incumbent will helpbuild the companys nextgeneration web services where millions of usersconnect on a daily basis to learn contribute and interact The companyutilizes NET MVC  AJAX development environment The holder of theposition will work in the areas of collecting specificationsprototyping application development and production support
Java Developer,The Head of Mechanics will perform duties under thegeneral direction of the Engineering Manager He she will performmaintenance repair and or modification of the plants mechanicalsystems The incumbent will be involved in fabrication applicationinstallation and repair of mechanical and electromechanical equipment
Sales Manager,Philip Morris Armenia LLC is looking for an Accountantto perform accounting reporting budgeting treasury and administrativeactivities in order to support the companys daytoday activities andits business development and to ensure compliance with local accountingand tax regulations as well as PM Principles and Practices
Sales Manager,The Armenian Water and Sewerage CJSC is recruiting aLegal Consultant Lawyer with relevant education experience andqualifications to work under the Project financed by the AsianDevelopment Bank ADB
Sales Manager,The Salesperson Cashier will be responsible forhelping to increase the stores sales by providing customers with all ofthe information and attention they need He she must also handleinventory prepare purchases for transportation by wrapping or baggingthem and set up displays and stock clothing racks or shelves cash andPOS transactions perform other duties as assigned
Sales Manager,Candle SRI is looking for a qualified candidate for theposition of Administrative Assistant
Sales Manager,AN Audit CJSC is looking for successful candidates forthe position of Senior Auditor
Sales Manager,RosgosstrakhArmenia ICJSC is looking for a highlyqualified Senior Software Developer with experience in objectorientedprogramming and development of client server applications
Sales Manager,The Equipment Manager Controller will assist the Headof Supporting Facilities in the equipment management activities such asmanaging cost and revenue on equipment for all profit centers
Sales Manager,The Sales Manager will be responsible for promoting andselling the companys products on retail marketplaces
Sales Manager,The Employment and Economic Sustainability ProjectCoordinator will coordinate the activities of Employment and EconomicSustainability project to be carried out in Yerevan among the mostvulnerable social groups giving priority to the beneficiaries of FamilyStrengthening Projects of SOS Childrens Villages Armenia implemented inKanakerZeytun and Arabkir administrative districts of Yerevan
Sales Manager,Jaguar LLC is seeking a qualified Content Manager to beresponsible for content preparation and dissemination
Java Developer,The incumbent will promote the medical products of theinternational partners of Victoria Consulting LLC in Yerevan and theregions of Armenia
Sales Manager,SI Holding CJSC is seeking a skilled and motivatedprofessional to work as a Financial Analyst
Sales Manager,VTB Bank Armenia CJSC is looking for a motivatedskilled and professional candidate to fill in the vacancy of Head ofFinancial Division of the Financial Department
Java Developer,The Production Support Engineer will work for theOperations and Support Service which is providing highquality technicalassistance for the realtime payment authorization applications Itmanages incidents and problems reporting through a central queue oftickets The main goal of the Service is to guarantee the availabilitythe robustness and efficiency of the application in the productionenvironment The division helps to define the specific maintenance neededto be included in projects in order to keep the companys system powerfuland upgraded
Sales Manager,VTB Bank Armenia CJSC is looking for an activeselfmotivated professional to fill in the position of Leading CreditAnalyst for the Transaction Structuring Division of the Corporate BankingDepartment
Java Developer,The Tumo Center for Creative Technologies is lookingfor an experienced and dynamic specialist to lead workshops and developeducational activities in web design and development The Web Design andDevelopment Workshop Leader and Educational Content Developer will reportto the Curriculum Director
Sales Manager,The Equipment Manager Controller will assist the Headof Supporting Facilities in the equipment management activities such asmanaging cost and revenue on equipment for all profit centers
Sales Manager,ABC Domain LLC is seeking for a qualified SystemsAdministrator
Sales Manager,The Software Development Team Leader will overseeprojects and supervise the daytoday operations of his her team makingsure everyone is pulling their weight distributing the workload evenlyand making sure motivation and performance levels are maintained Theincumbent will occasionally carry out administrative tasks and reportwriting duties as well as guide the teams vision and ensure thateverything goes according to plan
Java Developer,The Billing Analysts role is to research plan andrecommend solutions to meet the companys accounting reportsrequirements He she will be also responsible for feasibility studies ofrequirements before making recommendations to the management
Sales Manager,The C Engineer will participate in the development ofa multiplatform Client application
Sales Manager,AtTask is seeking a QA Automation Engineer to ensurethe quality and increase the code coverage of its project managementapplication by analyzing automating regression content by maintainingand improving existing scripts
Java Developer,Kime LLC is looking for a Sales Specialist in theMarketing Department
Java Developer,The Electronics PLC Engineer will perform duties underthe general direction of the Electrical Supervisor The incumbent willwork independently to perform maintenance repair and or modificationof the plants computer driven controls systems and the plants mechanicaland electrical systems He she will be involved in fabricationapplication installation and repair of electrical and electromechanicalequipment the installation of electrical conduit and machine buildingwiring
Java Developer,Media Initiatives Center former Internews MediaSupport NGO seeks a qualified candidate to provide essential oversightand management of project operations Under the overall supervision ofthe Managing Director the incumbent will plan coordinate and evaluateprojects according to strict deadlines and within budget He she will beresponsible for the daytoday management and coordination of the projectcomponents including acquisition of resources and coordination ofefforts of partners team members thirdparty contractors or consultantsin order to deliver projects according to the plan
Sales Manager,The incumbent should maintain accounting records incompliance with the international standards
Sales Manager,We are seeking several candidates for the EmbeddedLinux BSP Engineer position to join our partner companys Board SupportPackage BSP development  board bringup team This team is responsiblefor performing initial board bringup on new hardware porting boardsupport packages from reference designs and developing custom devicedrivers
Java Developer,The work of the Component Leader with option toproceed to Project Coordinator after 15 years relates to theimplementation of the project ENPARD Technical Assistance ProducerGroup and Value Chain Development that UNIDO developed for funding bythe EU under the European Neighbourhood Programme for Agriculture andRural Development ENPARD and the associated top up funding from theAustrian Development Agency ADA The position will be based in Yerevanwith frequent every 23 weeks trips to target marzes of Armeniaincluding Shirak Tavush LoriThe project focuses within tobedetermined regions of the country on astrengthening and newly establishing producer groups b engagingproducer groups effectively in value addition and c strengthening valuechains that provide improved access to affordable better quality foodBeneficiaries of the project will be producers producer group membersand employees and their families for which job creation and increasedincome effects are envisaged
Sales Manager,VOLO LLC is looking for an experienced resultorientedprofessional to fulfill the position of QA Engineer in anenterprisefocused team The incumbent will be working for aninternational clients using full SDLC principles
Java Developer,A last year student or a year ago graduated studentsare welcomed to participate in Graduate Trainee Program During thisprogram he she will be involved in projects and get a professionalexperience with future career growth opportunities at Coca Cola HBC Theprogram is paid
Java Developer,The PicsArt Backend Performance Engineering Team isseeking an outstanding engineer to help its team to take the performanceto the next level This work is critical to ensure PicsArt can sustainthe growth the company has seen in its transaction and data volumesSenior Performance Engineer will be a part of a the engineering team
Java Developer,Webb Fontaine LLC is seeking a QA Engineer SoftwareTester to join the team in developing enterprise level softwaresolutions The company is looking for an energetic person who is readyfor new challenges and has a good understanding of Software QualityAssurance
Java Developer,CertiPro Solutions LLC is looking for a Senior PHPDeveloper Magento development knowledge is a huge plus
Sales Manager,Ernst  Young CJSC is seeking responsible andhardworking people for the internship program at the Audit Department ofthe EY office in Yerevan
Sales Manager,The Tumo Center for Creative Technologies is lookingfor an experienced and energetic specialist who will lead workshops andwill be responsible for creating activities in the area of gamedevelopment
Sales Manager,The Chief Accountant will maintain and control Clientscurrent accounting and tax services
Java Developer,Workfront needs a NOC Technician to be a part of theTier 1 NOC team and responsible for helping to keep OnDemand up andrunning including escalations from support rolling code buildingdashboards and handling Nagios alerts
Java Developer,For implementing Activity 11 of Supporting the HostCountrys Transition to Sustainable Market Economy and Securing EconomicStability project the SME Sector Expert in collaboration with theExperts in Macroeconomics and Economics Statistics is required toconduct an analysis of the macroeconomic situation and the SME sector inArmenia develop a comprehensive statistical analysis of the SME sectorin Armenia prepare a qualitative review on main obstacles andexpectations of the SME sector and develop public policy practicalrecommendations for the SME sector development based on outcomes of thestatistical analysis crosscountry comparison and best internationalpractices The Economic and Environmental Unit of the OSCE Office in Yerevan dealswith economic and environmental issues operating under the premise thatpromoting economic prosperity and cooperation on environmental problemscan contribute to the security and stability of the Republic of ArmeniaIn this regard the Economic and Environmental Unit of the OSCE Office inYerevan invites applications from highly qualified and experiencedArmenian professionals for the temporary position of Small and MediumEnterprise Sector ExpertThe Expert will assist the OSCE Office in Yerevan by carrying outanalysis and reviews of the current macroeconomic situation and share ofSME sector in the Armenian economy in collaboration with the Expert inMacroeconomics and Economics Statistics Expert prepare a qualitativereview on main obstacles and expectations of the SME sector and developpublic policy practical recommendations for the SME sector development
Java Developer,BigBek is looking for a passionate Senior FrontEndDeveloper to build web applications where UI UX is a core value and itis at the forefront of development
Java Developer,The candidate will be encouraged to imbue creativenessin each common task and assignment The Company highly appreciates itsconsultants efforts to deliver high quality content providing tailoredsolutions to complex problems while meeting extremely tight deadlines
Java Developer,The Customer Service and Retention Unit Manager leadsplans organizes and gives a strategic direction to the unit activitiesand projects to achieve high level of customer satisfaction andcontribute to the increase of sales volumes The position holder assumesthe responsibility for implementing and controlling the procedures withrespect to the product material and monetary values of the unit inaccordance with the acting procedures of the Company
Sales Manager,Neotrans LLC is looking for a motivated selfdrivencandidate for the position of Transport Logistics Specialist
Java Developer,DeepRedMedia Solutions is looking for an experiencedWordPress developer who will be responsible for developing new WordPresswebsites and maintaining the existing ones by working with differentthemes building custom themes from PSD mockups and working with variousWordPress plugins and extensions
